city,road_type,primary_cause,severity,year,month,hour,vehicles_involved,injuries,fatalities,speed_kmh,visibility_m,road_lighting,road_divider,ambulance_response_min
Rajkot,Industrial Zone,Fog/Low Visibility,Minor Injury,2019,4,4,1,2,0,52.2,766,Functional,Absent,34.5
Hyderabad,Hill Road,Fog/Low Visibility,Minor Injury,2022,10,6,3,6,0,60.7,417,Absent,Present,28.6
Jodhpur,National Highway,Mobile Phone Use,Minor Injury,2018,12,16,1,3,0,51.9,343,Functional,Present,17.4
Mumbai,Industrial Zone,Fog/Low Visibility,Grievous Injury,2022,2,14,2,4,0,70.1,493,Absent,Present,24.6
Bhopal,National Highway,Brake Failure,Minor Injury,2022,3,16,2,0,0,52.7,132,Functional,Absent,4.0
Amritsar,State Highway,Overloaded Vehicle,Minor Injury,2018,3,9,1,3,0,51.7,357,Functional,Absent,23.5
Chennai,City Ring Road,Pothole,Grievous Injury,2021,3,11,4,0,0,55.5,154,Non-Functional,Absent,21.6
Lucknow,Industrial Zone,Drunk Driving,Fatal,2019,5,5,2,3,1,60.4,966,Functional,Absent,6.5
Chandigarh,City Ring Road,Mobile Phone Use,Grievous Injury,2024,6,5,1,4,0,72.7,314,Functional,Absent,13.4
Meerut,City Ring Road,Signal Jumping,Grievous Injury,2024,7,12,4,6,0,45.0,399,Non-Functional,Present,22.7
Bengaluru,Village Road,Brake Failure,Property Damage Only,2024,8,7,3,6,0,40.4,690,Functional,Absent,20.1
Pune,Village Road,Fog/Low Visibility,Minor Injury,2023,11,22,2,3,0,37.9,323,Functional,Absent,16.5
Ranchi,Industrial Zone,Overloaded Vehicle,Grievous Injury,2022,5,21,3,6,0,47.5,508,Non-Functional,Absent,14.3
Surat,Industrial Zone,Overloaded Vehicle,Grievous Injury,2023,10,5,3,3,0,38.7,714,Non-Functional,Absent,17.6
Ranchi,City Ring Road,Signal Jumping,Grievous Injury,2019,6,0,3,5,0,57.4,322,Absent,Present,25.4
Kanpur,Expressway,Tyre Burst,Minor Injury,2024,12,7,4,6,0,43.5,902,Functional,Present,18.4
Ahmedabad,Coastal Road,Animal on Road,Grievous Injury,2022,5,21,2,4,0,99.1,823,Absent,Absent,21.1
Surat,Industrial Zone,Pothole,Minor Injury,2023,10,20,3,1,0,64.7,776,Functional,Present,21.5
Visakhapatnam,State Highway,Driver Fatigue,Fatal,2018,7,9,3,4,2,20.9,218,Non-Functional,Absent,16.0
Rajkot,Industrial Zone,Pedestrian Jaywalking,Grievous Injury,2021,6,4,2,3,0,12.2,908,Absent,Absent,24.9
Amritsar,Coastal Road,Brake Failure,Grievous Injury,2020,4,8,4,4,0,89.0,884,Absent,Present,13.8
Guwahati,Hill Road,Tyre Burst,Grievous Injury,2018,9,7,4,4,0,90.3,35,Functional,Absent,9.0
Kolkata,Village Road,Tyre Burst,Minor Injury,2022,11,17,3,5,0,31.2,32,Non-Functional,Absent,22.4
Kanpur,National Highway,Driver Fatigue,Property Damage Only,2021,1,1,3,4,0,38.7,255,Non-Functional,Present,14.0
Ranchi,Urban Arterial,Brake Failure,Minor Injury,2019,4,3,4,1,0,76.7,299,Functional,Present,10.2
Indore,Coastal Road,Poor Road Condition,Minor Injury,2023,9,2,1,5,0,49.4,148,Absent,Present,17.1
Hyderabad,Urban Arterial,Pedestrian Jaywalking,Minor Injury,2021,3,11,2,4,0,62.6,642,Non-Functional,Absent,23.9
Meerut,Urban Arterial,Overloaded Vehicle,Grievous Injury,2023,7,6,3,1,0,52.9,776,Functional,Absent,8.4
Mysuru,Urban Arterial,Fog/Low Visibility,Grievous Injury,2023,2,7,4,5,0,75.2,831,Non-Functional,Absent,41.0
Kanpur,National Highway,Pedestrian Jaywalking,Minor Injury,2020,6,18,1,4,0,71.4,426,Functional,Absent,22.5
Jaipur,Urban Arterial,Overloaded Vehicle,Grievous Injury,2022,5,9,1,3,0,47.5,457,Absent,Present,16.0
Kanpur,Village Road,Mobile Phone Use,Grievous Injury,2020,1,12,3,4,0,27.2,252,Non-Functional,Absent,22.9
Delhi,Expressway,Brake Failure,Grievous Injury,2022,12,7,2,4,0,52.3,436,Absent,Present,28.3
Surat,National Highway,Mobile Phone Use,Minor Injury,2021,1,18,1,6,0,34.3,226,Functional,Absent,28.9
Visakhapatnam,Urban Arterial,Overloaded Vehicle,Grievous Injury,2022,7,4,1,5,0,48.8,56,Non-Functional,Absent,13.1
Ranchi,State Highway,Poor Road Condition,Minor Injury,2020,7,4,4,4,0,45.3,113,Functional,Present,13.1
Chandigarh,City Ring Road,Brake Failure,Property Damage Only,2021,10,6,2,1,0,13.2,506,Non-Functional,Present,23.1
Surat,National Highway,Tyre Burst,Minor Injury,2024,9,17,1,1,0,70.5,266,Non-Functional,Absent,28.2
Amritsar,Industrial Zone,Animal on Road,Minor Injury,2019,5,10,3,3,0,69.1,213,Functional,Absent,23.2
Bengaluru,Industrial Zone,Over-speeding,Grievous Injury,2018,11,9,2,2,0,21.4,941,Absent,Present,19.5
Mysuru,Expressway,Fog/Low Visibility,Minor Injury,2018,3,11,4,1,0,32.3,733,Functional,Present,15.8
Ranchi,Urban Arterial,Over-speeding,Grievous Injury,2019,10,2,4,0,0,82.9,387,Absent,Absent,18.3
Varanasi,Coastal Road,Poor Road Condition,Minor Injury,2018,1,5,2,1,0,10.0,371,Non-Functional,Absent,10.0
Kolkata,Urban Arterial,Signal Jumping,Fatal,2021,2,22,3,3,3,43.6,591,Absent,Absent,16.2
Surat,Village Road,Brake Failure,Grievous Injury,2018,5,16,2,0,0,73.8,972,Functional,Present,24.7
Pune,Expressway,Overloaded Vehicle,Grievous Injury,2022,4,6,4,5,0,71.2,475,Non-Functional,Absent,19.9
Surat,State Highway,Pedestrian Jaywalking,Grievous Injury,2023,1,9,4,6,0,49.1,984,Absent,Absent,15.1
Allahabad,Village Road,Animal on Road,Property Damage Only,2022,12,17,1,2,0,63.6,427,Non-Functional,Present,25.5
Kochi,Hill Road,Brake Failure,Minor Injury,2022,2,22,1,0,0,86.1,596,Functional,Present,18.7
