junction_id,hour,avg_speed_kmh,speed_std_dev,vehicle_count,pedestrian_count,signal_phase,cctv_quality,pothole_detected,wrong_way_driving,near_miss_event
JN-0121,0,47.0,18.01,172,19,Green,HD,0,0,0
JN-0057,0,37.4,13.24,41,45,Off,HD,1,0,0
JN-0132,0,62.1,11.15,62,41,Green,SD,0,0,0
JN-0467,0,45.4,15.5,15,31,Yellow,HD,0,0,0
JN-0157,0,36.3,10.83,3,43,Red,HD,0,0,1
JN-0194,0,41.0,11.68,79,21,Green,HD,0,0,0
JN-0038,0,31.0,7.84,162,10,Green,SD,1,0,1
JN-0354,0,33.4,13.87,96,4,Green,HD,0,0,0
JN-0099,0,50.6,10.9,135,31,Red,Blurry,0,0,0
JN-0112,0,51.2,22.64,9,42,Green,Blurry,0,0,0
JN-0285,0,48.4,19.71,23,47,Green,HD,0,0,0
JN-0227,0,40.4,14.33,34,43,Red,HD,0,0,0
JN-0352,0,52.1,10.68,70,0,Green,HD,0,1,0
JN-0240,0,64.2,5.77,153,4,Red,Offline,0,0,0
JN-0462,0,55.0,13.86,139,16,Green,Blurry,1,0,0
JN-0018,0,45.9,16.65,47,13,Red,HD,0,0,0
JN-0104,0,24.3,5.8,36,29,Green,HD,0,0,0
JN-0355,0,36.1,5.74,82,50,Red,HD,0,0,0
JN-0184,0,33.5,11.56,63,44,Green,HD,1,0,0
JN-0458,0,18.0,10.71,64,41,Off,SD,0,0,0
JN-0456,0,30.5,10.59,131,50,Red,SD,0,0,0
JN-0421,0,54.6,14.92,106,9,Off,HD,1,0,1
JN-0295,0,54.2,14.99,13,23,Red,HD,0,0,0
JN-0444,0,22.2,19.9,31,26,Red,SD,0,0,0
JN-0327,0,32.8,25.68,109,29,Red,SD,0,0,0
JN-0387,0,33.4,10.45,87,39,Red,HD,0,0,0
JN-0038,0,48.1,16.24,178,29,Green,Blurry,0,0,0
JN-0142,0,40.1,6.15,177,3,Green,HD,0,0,0
JN-0476,0,29.6,18.87,135,48,Green,HD,0,0,0
JN-0261,0,38.3,11.1,37,9,Green,HD,0,0,0
JN-0229,0,5.0,17.8,63,25,Red,SD,0,0,0
JN-0405,0,56.5,12.84,81,20,Red,SD,0,0,0
JN-0378,0,35.2,9.32,55,22,Green,SD,0,0,0
JN-0052,0,60.2,14.94,112,46,Red,HD,0,0,0
JN-0412,0,11.1,10.98,121,42,Red,Blurry,0,0,0
JN-0126,0,26.0,6.9,103,8,Off,SD,0,0,0
JN-0350,0,53.8,5.69,142,30,Red,Blurry,0,0,0
JN-0262,0,27.7,7.03,23,44,Green,Offline,0,0,0
JN-0223,0,11.8,14.27,168,2,Green,SD,0,0,0
JN-0423,0,5.0,13.17,115,5,Green,SD,0,0,0
JN-0321,0,5.0,16.06,9,2,Red,HD,0,0,0
JN-0163,0,14.2,7.88,117,47,Yellow,Offline,0,0,0
JN-0399,0,41.0,13.96,94,38,Red,Offline,0,0,0
JN-0079,0,20.5,16.3,27,7,Yellow,HD,1,0,0
JN-0492,0,23.9,23.76,168,15,Yellow,SD,0,0,0
JN-0070,0,44.4,11.43,90,32,Red,HD,1,0,0
JN-0112,0,60.9,15.81,44,18,Green,HD,0,0,0
JN-0167,0,17.6,9.09,62,40,Green,HD,0,0,0
JN-0256,0,41.8,0.29,17,26,Red,Blurry,0,0,0
JN-0103,0,33.6,10.33,111,20,Off,HD,0,0,1
JN-0487,0,35.1,14.65,171,19,Green,HD,0,0,0
JN-0105,0,37.8,14.87,103,5,Yellow,HD,1,0,0
JN-0259,0,34.9,6.3,168,2,Green,HD,0,0,0
JN-0063,0,21.7,0.86,62,34,Yellow,HD,0,0,0
JN-0065,0,22.4,8.22,39,31,Green,Blurry,0,0,1
JN-0081,0,31.5,12.08,91,4,Green,SD,0,0,0
JN-0304,0,63.3,12.66,11,46,Green,Blurry,0,1,0
JN-0077,0,22.0,7.09,115,21,Green,HD,0,0,0
JN-0014,0,30.8,7.05,49,50,Red,SD,0,0,0
JN-0135,0,61.8,7.46,128,5,Red,HD,0,0,1
JN-0068,0,46.4,13.7,51,40,Green,HD,1,0,0
JN-0147,0,51.3,22.44,177,24,Green,SD,0,0,0
JN-0446,0,45.0,9.23,168,35,Green,HD,0,0,0
JN-0061,0,46.5,2.31,58,22,Green,HD,1,0,0
JN-0380,0,48.2,15.73,145,47,Red,SD,0,0,0
JN-0310,0,14.5,13.88,165,17,Green,HD,0,0,0
JN-0440,0,82.9,11.96,178,22,Green,SD,0,0,0
JN-0042,0,40.2,10.1,100,21,Green,HD,0,0,1
JN-0032,0,46.8,3.08,81,18,Green,Blurry,1,0,0
JN-0380,0,44.1,13.12,153,0,Green,HD,0,0,0
JN-0496,0,51.0,13.18,107,22,Green,HD,1,0,0
JN-0281,0,25.1,14.97,138,26,Yellow,Blurry,0,0,0
JN-0012,0,63.8,6.14,45,0,Green,HD,0,0,0
JN-0021,0,41.2,11.58,67,16,Red,SD,0,0,0
JN-0342,0,76.4,14.38,80,42,Green,Blurry,0,0,0
JN-0365,0,19.2,11.21,97,3,Green,Offline,0,0,0
JN-0014,0,49.8,7.98,96,22,Red,HD,0,0,0
JN-0016,0,39.3,8.2,179,43,Red,Blurry,1,0,0
JN-0249,0,34.5,12.47,41,5,Green,HD,0,1,0
JN-0258,0,30.8,4.2,41,44,Green,Blurry,1,0,0
JN-0047,0,49.3,9.12,169,25,Red,HD,0,0,0
JN-0269,0,22.9,12.57,103,28,Yellow,Offline,0,0,0
JN-0210,0,44.9,9.44,129,31,Yellow,HD,0,0,0
JN-0463,0,27.0,6.3,57,19,Red,SD,0,0,0
JN-0133,0,42.2,20.76,128,19,Red,HD,0,0,0
JN-0434,0,46.0,5.96,163,38,Green,SD,0,0,0
JN-0100,0,51.7,14.82,62,4,Red,Blurry,0,0,0
JN-0313,0,63.2,14.35,124,1,Red,HD,0,0,0
JN-0476,0,38.7,8.91,121,0,Red,HD,0,0,0
JN-0433,0,34.5,10.73,20,34,Green,Blurry,0,0,0
JN-0277,0,21.0,7.02,25,3,Green,HD,0,0,0
JN-0498,0,13.9,4.37,60,44,Red,HD,0,0,1
JN-0367,0,50.4,7.9,10,41,Green,SD,0,0,0
JN-0188,0,52.7,6.63,140,36,Red,HD,0,0,0
