vehicle_type,driver_age,driving_experience_yrs,gender,license_valid,helmet_or_seatbelt,alcohol_detected,mobile_phone_use,fatigue_score,vehicle_age_years,last_service_months,past_accident_count
Car/SUV,59,21,Male,0,1,0,0,0.204,13,32,3
Tempo,65,34,Male,1,1,0,1,0.603,12,7,0
E-Rickshaw,49,27,Male,1,1,1,1,0.196,25,23,2
Bus,36,18,Male,1,0,0,0,0.457,0,13,1
Bus,50,16,Male,1,0,0,0,0.197,1,27,0
Bus,57,35,Female,0,1,0,0,0.459,5,7,1
Truck/HCV,58,13,Male,1,1,0,0,0.517,21,1,1
Car/SUV,50,3,Male,0,0,0,0,0.479,5,33,0
Bus,57,17,Male,1,0,1,0,0.17,5,1,1
Car/SUV,47,29,Male,1,1,0,0,0.2,20,16,0
Two-Wheeler,46,15,Male,1,0,0,1,0.37,13,7,3
Tractor,18,0,Male,1,1,0,0,0.619,2,5,0
Tractor,26,8,Male,1,1,0,0,0.398,22,28,0
Truck/HCV,35,16,Male,1,1,1,1,0.184,12,17,0
Bus,31,13,Male,0,0,0,0,0.073,4,17,0
Tempo,26,1,Female,0,1,0,0,0.08,24,23,0
Car/SUV,55,20,Male,1,0,0,0,0.416,12,28,3
Tempo,38,17,Male,1,1,0,0,0.044,8,21,1
Truck/HCV,46,28,Male,1,0,0,0,0.425,8,19,0
Truck/HCV,23,5,Female,1,0,0,0,0.201,21,5,0
Car/SUV,48,15,Male,1,0,0,0,0.589,2,4,0
Two-Wheeler,57,14,Male,1,0,0,0,0.363,21,20,1
Truck/HCV,19,1,Male,1,1,0,0,0.146,15,13,0
Bus,20,2,Male,1,1,1,1,0.159,0,6,1
Auto-Rickshaw,36,5,Male,0,1,0,1,0.184,22,24,1
Truck/HCV,49,18,Female,0,0,0,0,0.348,0,33,2
Tempo,24,3,Male,1,1,0,0,0.348,13,13,0
Tempo,40,12,Male,0,0,0,1,0.14,10,32,0
Car/SUV,37,12,Male,1,0,0,0,0.166,15,13,1
Tempo,42,3,Male,1,0,0,1,0.414,10,25,1
Auto-Rickshaw,18,0,Male,1,1,0,0,0.069,23,11,3
Car/SUV,20,2,Male,1,1,0,0,0.222,4,22,0
Tempo,48,19,Male,1,1,0,0,0.364,22,24,1
Tractor,20,2,Male,1,1,0,1,0.307,11,36,0
Auto-Rickshaw,29,9,Male,1,1,0,1,0.329,2,23,0
Tractor,18,0,Male,1,0,1,0,0.364,18,26,0
Two-Wheeler,52,4,Male,0,0,0,1,0.306,21,0,0
Two-Wheeler,49,30,Male,1,1,0,0,0.057,4,35,0
Car/SUV,51,30,Male,1,1,0,1,0.265,7,28,0
Tempo,63,20,Female,1,1,0,1,0.52,18,29,0
Car/SUV,61,27,Male,1,0,1,1,0.456,1,36,0
