state,year,month,rainfall_mm,temperature_c,humidity_pct,wind_speed_kmh,fog_hours,road_waterlogging,pothole_index,accidents_that_day
Haryana,2019,6,0.41,40.0,50.1,33.1,0.0,0,0.252,33
Assam,2019,10,10.76,18.2,84.8,10.4,0.0,0,0.251,40
Kerala,2021,12,6.69,21.8,41.4,32.2,0.2,0,0.069,11
West Bengal,2020,12,1.08,38.5,58.5,26.8,0.2,0,0.106,23
Assam,2024,3,40.44,37.9,44.7,4.0,0.0,1,0.376,4
Maharashtra,2021,2,10.39,14.6,73.0,15.4,0.3,0,0.152,5
West Bengal,2021,5,15.11,20.7,68.9,23.7,0.0,0,0.695,26
Tamil Nadu,2020,7,4.97,14.1,63.6,15.2,0.0,0,0.367,31
Bihar,2020,11,0.51,44.9,34.8,12.2,0.2,0,0.269,34
Karnataka,2023,6,4.26,36.2,85.4,17.6,0.0,0,0.296,22
Madhya Pradesh,2023,10,9.98,15.1,24.0,5.6,0.0,0,0.247,37
Madhya Pradesh,2024,11,7.96,30.8,33.7,20.5,0.3,0,0.212,10
Karnataka,2021,9,1.55,20.2,96.5,5.9,0.0,0,0.453,34
Uttar Pradesh,2024,3,24.24,15.4,81.8,11.7,0.0,0,0.493,25
Tamil Nadu,2019,8,4.07,33.4,49.6,9.1,0.0,0,0.715,38
Telangana,2022,3,1.66,16.6,24.2,29.3,0.0,0,0.182,2
Maharashtra,2022,1,17.77,33.0,61.8,30.4,0.3,0,0.256,14
Odisha,2024,1,5.62,38.7,78.0,27.3,0.7,0,0.341,9
Telangana,2020,5,15.55,8.6,41.7,23.5,0.0,0,0.512,10
Odisha,2022,10,21.11,11.3,65.1,24.6,0.0,0,0.47,41
Tamil Nadu,2020,9,5.27,22.7,89.1,9.0,0.0,0,0.328,6
Haryana,2023,11,5.92,26.1,78.0,24.3,6.4,0,0.632,17
Gujarat,2023,5,1.35,21.3,35.7,37.9,0.0,0,0.219,42
West Bengal,2022,11,3.7,24.1,60.5,5.0,3.9,0,0.26,7
Odisha,2022,7,13.78,30.0,20.9,21.3,0.0,0,0.319,44
Rajasthan,2021,2,18.66,35.3,50.4,20.1,0.5,0,0.236,16
Gujarat,2024,10,25.65,10.5,87.5,1.8,0.0,1,0.518,22
Gujarat,2024,4,19.48,22.4,89.1,11.3,0.0,0,0.297,21
Bihar,2019,6,5.7,43.9,69.1,6.3,0.0,0,0.306,23
Bihar,2024,6,4.31,39.0,21.4,8.4,0.0,0,0.622,45
Maharashtra,2019,6,1.64,21.6,79.5,20.3,0.0,0,0.663,26
Uttar Pradesh,2023,6,2.28,18.6,82.4,27.9,0.0,0,0.172,1
Punjab,2020,12,1.48,8.6,85.4,20.0,1.7,0,0.039,24
Karnataka,2024,5,8.42,44.5,45.8,15.8,0.0,0,0.317,6
Uttar Pradesh,2024,12,1.04,8.3,32.9,34.1,3.4,0,0.603,26
West Bengal,2024,3,5.32,38.1,67.4,12.8,0.0,0,0.455,38
Rajasthan,2023,12,3.49,38.4,76.8,17.7,0.3,0,0.323,28
Telangana,2022,2,3.78,12.2,50.7,9.7,0.6,0,0.276,16
Bihar,2024,1,0.39,8.2,63.2,8.5,1.0,0,0.327,1
Tamil Nadu,2019,1,2.0,45.2,23.0,15.8,0.4,0,0.118,24
Haryana,2021,9,6.37,11.0,68.9,23.3,0.0,0,0.362,27
Telangana,2023,3,10.75,42.7,63.5,40.8,0.0,0,0.531,30
Assam,2021,2,3.75,13.9,60.5,20.6,0.7,0,0.366,31
Uttar Pradesh,2024,1,1.36,31.6,85.2,9.5,0.0,0,0.429,33
West Bengal,2019,3,0.08,9.9,76.9,14.6,0.0,0,0.486,42
Punjab,2024,6,0.52,21.1,50.0,2.1,0.0,0,0.348,27
Kerala,2023,7,4.32,44.3,75.7,24.0,0.0,0,0.358,39
Odisha,2023,4,11.53,11.9,32.5,3.2,0.0,0,0.242,18
Maharashtra,2020,6,0.96,42.8,85.2,10.9,0.0,0,0.166,22
Karnataka,2023,11,4.63,19.3,45.1,30.0,1.5,0,0.395,31
Tamil Nadu,2023,5,7.77,8.6,27.1,31.9,0.0,0,0.541,19
Maharashtra,2023,5,5.34,21.6,44.0,20.8,0.0,0,0.151,12
Kerala,2024,7,9.79,31.5,85.8,31.2,0.0,0,0.381,16
Haryana,2021,7,11.07,12.1,97.0,21.3,0.0,0,0.371,31
